kode_negara,tahun,produksi
AUS,Tahun 1971,14226.194
AUS,Tahun 1972,15029.094
AUS,Tahun 1973,18720.577
AUS,Tahun 1974,18498.696
AUS,Tahun 1975,19736.07
AUS,Tahun 1976,20177.769
AUS,Tahun 1977,21259.31
AUS,Tahun 1978,20694.803
AUS,Tahun 1979,20828.964
AUS,Tahun 1980,19471.877
AUS,Tahun 1981,19007.475
AUS,Tahun 1982,18706.129
AUS,Tahun 1983,18220.054
AUS,Tahun 1984,22148.899
AUS,Tahun 1985,25468.86
AUS,Tahun 1986,26561.559
AUS,Tahun 1987,26399.764
AUS,Tahun 1988,26322.923
AUS,Tahun 1989,23679.705
AUS,Tahun 1990,26752.604
AUS,Tahun 1991,26717.935
AUS,Tahun 1992,23439.126
AUS,Tahun 1993,22940.108
AUS,Tahun 1994,21286.521
AUS,Tahun 1995,22718.44
AUS,Tahun 1996,20539.57
AUS,Tahun 1997,20494.396
AUS,Tahun 1998,22008.258
AUS,Tahun 1999,16551.631
AUS,Tahun 2000,25081.157
AUS,Tahun 2001,26611.828
AUS,Tahun 2002,30307.711
AUS,Tahun 2003,29403.176
AUS,Tahun 2004,25785.035
AUS,Tahun 2005,22928.552
AUS,Tahun 2006,20414.553
AUS,Tahun 2007,23214.306
AUS,Tahun 2008,21500.836
AUS,Tahun 2009,22170.045
AUS,Tahun 2010,23141.817
AUS,Tahun 2011,22232.029
AUS,Tahun 2012,20728.672
AUS,Tahun 2013,17979.347
AUS,Tahun 2014,16925.631
AUS,Tahun 2015,16313.153
AUT,Tahun 1971,2628.081
AUT,Tahun 1972,2515.406
AUT,Tahun 1973,2635.187
AUT,Tahun 1974,2295.13
AUT,Tahun 1975,2067.749
AUT,Tahun 1976,1960.149
AUT,Tahun 1977,1788.597
AUT,Tahun 1978,1818.035
AUT,Tahun 1979,1752.054
AUT,Tahun 1980,1469.858
AUT,Tahun 1981,1324.699
AUT,Tahun 1982,1280.035
AUT,Tahun 1983,1255.673
AUT,Tahun 1984,1192.737
AUT,Tahun 1985,1137.922
AUT,Tahun 1986,1110.514
AUT,Tahun 1987,1062.805
AUT,Tahun 1988,1192.737
AUT,Tahun 1989,1173.45
AUT,Tahun 1990,1166.344
AUT,Tahun 1991,1299.322
AUT,Tahun 1992,1197.812
AUT,Tahun 1993,1171.42
AUT,Tahun 1994,1115.589
AUT,Tahun 1995,1050.623
AUT,Tahun 1996,1006.974
AUT,Tahun 1997,986.905
AUT,Tahun 1998,973.476
AUT,Tahun 1999,1020.284
AUT,Tahun 2000,989.322
AUT,Tahun 2001,971.446
AUT,Tahun 2002,962.31
AUT,Tahun 2003,932.872
AUT,Tahun 2004,985.657
AUT,Tahun 2005,867.906
AUT,Tahun 2006,868.921
AUT,Tahun 2007,865.876
AUT,Tahun 2008,875.012
AUT,Tahun 2009,922.721
AUT,Tahun 2010,890.238
AUT,Tahun 2011,850.65
AUT,Tahun 2012,851.665
AUT,Tahun 2013,855.725
AUT,Tahun 2014,903.435
AUT,Tahun 2015,865.876
BEL,Tahun 1971,0
BEL,Tahun 1972,0
BEL,Tahun 1973,0
BEL,Tahun 1974,0
BEL,Tahun 1975,0
BEL,Tahun 1976,0
BEL,Tahun 1977,0
BEL,Tahun 1978,0
BEL,Tahun 1979,0
BEL,Tahun 1980,0
BEL,Tahun 1981,0
BEL,Tahun 1982,0
BEL,Tahun 1983,0
BEL,Tahun 1984,0
BEL,Tahun 1985,0
BEL,Tahun 1986,0
BEL,Tahun 1987,0
BEL,Tahun 1988,0
BEL,Tahun 1989,0
BEL,Tahun 1990,0
BEL,Tahun 1991,0
BEL,Tahun 1992,0
BEL,Tahun 1993,0
BEL,Tahun 1994,0
BEL,Tahun 1995,0
BEL,Tahun 1996,0
BEL,Tahun 1997,0
BEL,Tahun 1998,0
BEL,Tahun 1999,0
BEL,Tahun 2000,0
BEL,Tahun 2001,0
BEL,Tahun 2002,0
BEL,Tahun 2003,0
BEL,Tahun 2004,0
BEL,Tahun 2005,0
BEL,Tahun 2006,0
BEL,Tahun 2007,0
BEL,Tahun 2008,0
BEL,Tahun 2009,0
BEL,Tahun 2010,0
BEL,Tahun 2011,0
BEL,Tahun 2012,0
BEL,Tahun 2013,0
BEL,Tahun 2014,0
BEL,Tahun 2015,0
CAN,Tahun 1971,67007.824
CAN,Tahun 1972,77035.899
CAN,Tahun 1973,90370.215
CAN,Tahun 1974,84632.586
CAN,Tahun 1975,79325.228
CAN,Tahun 1976,72727.056
CAN,Tahun 1977,72847.655
CAN,Tahun 1978,71739.784
CAN,Tahun 1979,79991.586
CAN,Tahun 1980,65540.201
CAN,Tahun 1981,58534.243
CAN,Tahun 1982,57339.499
CAN,Tahun 1983,59548.088
CAN,Tahun 1984,66797.287
CAN,Tahun 1985,66419.139
CAN,Tahun 1986,66554.046
CAN,Tahun 1987,70292.601
CAN,Tahun 1988,73515.035
CAN,Tahun 1989,70081.043
CAN,Tahun 1990,69998.259
CAN,Tahun 1991,68728.908
CAN,Tahun 1992,71553.776
CAN,Tahun 1993,74872.28
CAN,Tahun 1994,77323.088
CAN,Tahun 1995,79944.573
CAN,Tahun 1996,81793.41
CAN,Tahun 1997,86451.784
CAN,Tahun 1998,91123.445
CAN,Tahun 1999,84443.512
CAN,Tahun 2000,89873.513
CAN,Tahun 2001,90223.044
CAN,Tahun 2002,93116.387
CAN,Tahun 2003,101441.775
CAN,Tahun 2004,104830.799
CAN,Tahun 2005,114383.635
CAN,Tahun 2006,115490.484
CAN,Tahun 2007,109452.38
CAN,Tahun 2008,110046.175
CAN,Tahun 2009,103680.002
CAN,Tahun 2010,110424.323
CAN,Tahun 2011,117003.076
CAN,Tahun 2012,127611.66
CAN,Tahun 2013,138332.666
CAN,Tahun 2014,152664.475
CAN,Tahun 2015,157976.943
CZE,Tahun 1971,34.93
CZE,Tahun 1972,38.922
CZE,Tahun 1973,42.914
CZE,Tahun 1974,44.91
CZE,Tahun 1975,84.829
CZE,Tahun 1976,77.844
CZE,Tahun 1977,34.93
CZE,Tahun 1978,65.868
CZE,Tahun 1979,60.878
CZE,Tahun 1980,50.898
CZE,Tahun 1981,49.9
CZE,Tahun 1982,53.892
CZE,Tahun 1983,55.888
CZE,Tahun 1984,55.888
CZE,Tahun 1985,56.886
CZE,Tahun 1986,55.888
CZE,Tahun 1987,50.898
CZE,Tahun 1988,44.91
CZE,Tahun 1989,46.906
CZE,Tahun 1990,49.9
CZE,Tahun 1991,68.862
CZE,Tahun 1992,81.835
CZE,Tahun 1993,110.777
CZE,Tahun 1994,127.743
CZE,Tahun 1995,145.222
CZE,Tahun 1996,151.201
CZE,Tahun 1997,162.143
CZE,Tahun 1998,177.94
CZE,Tahun 1999,183.197
CZE,Tahun 2000,175.456
CZE,Tahun 2001,183.288
CZE,Tahun 2002,265.835
CZE,Tahun 2003,317.522
CZE,Tahun 2004,305.942
CZE,Tahun 2005,312.94
CZE,Tahun 2006,265.734
CZE,Tahun 2007,247.228
CZE,Tahun 2008,242.763
CZE,Tahun 2009,222.7
CZE,Tahun 2010,178.236
CZE,Tahun 2011,167.097
CZE,Tahun 2012,157.982
CZE,Tahun 2013,155.96
CZE,Tahun 2014,151.91
CZE,Tahun 2015,129.63
DNK,Tahun 1971,0
DNK,Tahun 1972,77.51
DNK,Tahun 1973,69.351
DNK,Tahun 1974,90.769
DNK,Tahun 1975,150.941
DNK,Tahun 1976,197.855
DNK,Tahun 1977,512.996
DNK,Tahun 1978,440.585
DNK,Tahun 1979,440.585
DNK,Tahun 1980,303.922
DNK,Tahun 1981,773.063
DNK,Tahun 1982,1719.504
DNK,Tahun 1983,2194.764
DNK,Tahun 1984,2359.984
DNK,Tahun 1985,2949.47
DNK,Tahun 1986,3692.956
DNK,Tahun 1987,4693.451
DNK,Tahun 1988,4828.074
DNK,Tahun 1989,5640.912
DNK,Tahun 1990,6113.113
DNK,Tahun 1991,7131.965
DNK,Tahun 1992,7910.127
DNK,Tahun 1993,8429.242
DNK,Tahun 1994,9299.193
DNK,Tahun 1995,9352.226
DNK,Tahun 1996,10323.144
DNK,Tahun 1997,11446.331
DNK,Tahun 1998,11741.091
DNK,Tahun 1999,14856.095
DNK,Tahun 2000,18260.724
DNK,Tahun 2001,17343.58
DNK,Tahun 2002,18633.539
DNK,Tahun 2003,18633.539
DNK,Tahun 2004,19782.794
DNK,Tahun 2005,19017.651
DNK,Tahun 2006,17294.282
DNK,Tahun 2007,15579.13
DNK,Tahun 2008,14414.469
DNK,Tahun 2009,13251.863
DNK,Tahun 2010,12485.693
DNK,Tahun 2011,11236.816
DNK,Tahun 2012,10249.833
DNK,Tahun 2013,8917.765
DNK,Tahun 2014,8350.841
DNK,Tahun 2015,7897.917
FIN,Tahun 1971,0
FIN,Tahun 1972,0
FIN,Tahun 1973,0
FIN,Tahun 1974,0
FIN,Tahun 1975,0
FIN,Tahun 1976,0
FIN,Tahun 1977,0
FIN,Tahun 1978,0
FIN,Tahun 1979,0
FIN,Tahun 1980,0
FIN,Tahun 1981,0
FIN,Tahun 1982,0
FIN,Tahun 1983,0
FIN,Tahun 1984,0
FIN,Tahun 1985,0
FIN,Tahun 1986,0
FIN,Tahun 1987,0
FIN,Tahun 1988,0
FIN,Tahun 1989,0
FIN,Tahun 1990,0
FIN,Tahun 1991,0
FIN,Tahun 1992,0
FIN,Tahun 1993,0
FIN,Tahun 1994,0
FIN,Tahun 1995,0
FIN,Tahun 1996,0
FIN,Tahun 1997,0
FIN,Tahun 1998,0
FIN,Tahun 1999,0
FIN,Tahun 2000,0
FIN,Tahun 2001,0
FIN,Tahun 2002,0
FIN,Tahun 2003,0
FIN,Tahun 2004,0
FIN,Tahun 2005,0
FIN,Tahun 2006,0
FIN,Tahun 2007,0
FIN,Tahun 2008,0
FIN,Tahun 2009,0
FIN,Tahun 2010,0
FIN,Tahun 2011,0
FIN,Tahun 2012,0
FIN,Tahun 2013,0
FIN,Tahun 2014,0
FIN,Tahun 2015,0
FRA,Tahun 1971,1861.644
FRA,Tahun 1972,1483.716
FRA,Tahun 1973,1253.76
FRA,Tahun 1974,1079.794
FRA,Tahun 1975,1027.804
FRA,Tahun 1976,1056.798
FRA,Tahun 1977,1036.802
FRA,Tahun 1978,1116.787
FRA,Tahun 1979,1196.771
FRA,Tahun 1980,1414.73
FRA,Tahun 1981,1675.68
FRA,Tahun 1982,1645.685
FRA,Tahun 1983,1660.683
FRA,Tahun 1984,2064.605
FRA,Tahun 1985,2641.495
FRA,Tahun 1986,2941.438
FRA,Tahun 1987,3235.382
FRA,Tahun 1988,3354.359
FRA,Tahun 1989,3243.38
FRA,Tahun 1990,3023.422
FRA,Tahun 1991,2951.436
FRA,Tahun 1992,2865.452
FRA,Tahun 1993,2751.474
FRA,Tahun 1994,2768.471
FRA,Tahun 1995,2502.522
FRA,Tahun 1996,2106.597
FRA,Tahun 1997,1779.66
FRA,Tahun 1998,1708.673
FRA,Tahun 1999,1538.706
FRA,Tahun 2000,1416.729
FRA,Tahun 2001,1381.736
FRA,Tahun 2002,1316.591
FRA,Tahun 2003,1218.622
FRA,Tahun 2004,1137.647
FRA,Tahun 2005,1078.665
FRA,Tahun 2006,1054.672
FRA,Tahun 2007,973.698
FRA,Tahun 2008,974.697
FRA,Tahun 2009,898.721
FRA,Tahun 2010,895.722
FRA,Tahun 2011,894.722
FRA,Tahun 2012,806.749
FRA,Tahun 2013,792.754
FRA,Tahun 2014,765.762
FRA,Tahun 2015,832.741
DEU,Tahun 1971,7723.824
DEU,Tahun 1972,7362.392
DEU,Tahun 1973,6854.957
DEU,Tahun 1974,6388.363
DEU,Tahun 1975,5930.957
DEU,Tahun 1976,5694.087
DEU,Tahun 1977,5580.756
DEU,Tahun 1978,5237.702
DEU,Tahun 1979,4899.753
DEU,Tahun 1980,4764.982
DEU,Tahun 1981,4589.371
DEU,Tahun 1982,4382.109
DEU,Tahun 1983,4232.022
DEU,Tahun 1984,4156.469
DEU,Tahun 1985,4222.833
DEU,Tahun 1986,4153.406
DEU,Tahun 1987,3846.086
DEU,Tahun 1988,4069.684
DEU,Tahun 1989,3917.556
DEU,Tahun 1990,3724.588
DEU,Tahun 1991,3476.486
DEU,Tahun 1992,3347.841
DEU,Tahun 1993,3128.327
DEU,Tahun 1994,2999.682
DEU,Tahun 1995,2987.43
DEU,Tahun 1996,2934.338
DEU,Tahun 1997,2862.869
DEU,Tahun 1998,2995.598
DEU,Tahun 1999,2803.651
DEU,Tahun 2000,3232.469
DEU,Tahun 2001,3346.82
DEU,Tahun 2002,3582.67
DEU,Tahun 2003,3767.47
DEU,Tahun 2004,3553.735
DEU,Tahun 2005,3560.619
DEU,Tahun 2006,3469.054
DEU,Tahun 2007,3443.765
DEU,Tahun 2008,3100.633
DEU,Tahun 2009,2813.485
DEU,Tahun 2010,2538.786
DEU,Tahun 2011,2682.78
DEU,Tahun 2012,2657.249
DEU,Tahun 2013,2691.971
DEU,Tahun 2014,2486.703
DEU,Tahun 2015,2479.555
GRC,Tahun 1971,0
GRC,Tahun 1972,0
GRC,Tahun 1973,0
GRC,Tahun 1974,0
GRC,Tahun 1975,0
GRC,Tahun 1976,0
GRC,Tahun 1977,0
GRC,Tahun 1978,0
GRC,Tahun 1979,0
GRC,Tahun 1980,0
GRC,Tahun 1981,196.496
GRC,Tahun 1982,988.496
GRC,Tahun 1983,1178.977
GRC,Tahun 1984,1254.167
GRC,Tahun 1985,1253.165
GRC,Tahun 1986,1256.172
GRC,Tahun 1987,1151.909
GRC,Tahun 1988,1052.658
GRC,Tahun 1989,853.155
GRC,Tahun 1990,774.957
GRC,Tahun 1991,719.085
GRC,Tahun 1992,595.136
GRC,Tahun 1993,489.415
GRC,Tahun 1994,455.694
GRC,Tahun 1995,396.454
GRC,Tahun 1996,440.2
GRC,Tahun 1997,397.365
GRC,Tahun 1998,267.037
GRC,Tahun 1999,13.671
GRC,Tahun 2000,233.315
GRC,Tahun 2001,155.847
GRC,Tahun 2002,150.379
GRC,Tahun 2003,109.367
GRC,Tahun 2004,107.544
GRC,Tahun 2005,81.114
GRC,Tahun 2006,75.645
GRC,Tahun 2007,67.443
GRC,Tahun 2008,53.772
GRC,Tahun 2009,72.911
GRC,Tahun 2010,104.81
GRC,Tahun 2011,89.316
GRC,Tahun 2012,85.67
GRC,Tahun 2013,63.797
GRC,Tahun 2014,58.329
GRC,Tahun 2015,57.417
HUN,Tahun 1971,1944.414
HUN,Tahun 1972,1965.289
HUN,Tahun 1973,1977.218
HUN,Tahun 1974,1985.171
HUN,Tahun 1975,1994.118
HUN,Tahun 1976,2105.454
HUN,Tahun 1977,2178.022
HUN,Tahun 1978,2184.98
HUN,Tahun 1979,2014.993
HUN,Tahun 1980,2018.97
HUN,Tahun 1981,2012.011
HUN,Tahun 1982,2014.993
HUN,Tahun 1983,1992.13
HUN,Tahun 1984,1995.112
HUN,Tahun 1985,1950.378
HUN,Tahun 1986,1943.42
HUN,Tahun 1987,1849.977
HUN,Tahun 1988,1877.811
HUN,Tahun 1989,1866.849
HUN,Tahun 1990,1875.664
HUN,Tahun 1991,1803.184
HUN,Tahun 1992,1732.663
HUN,Tahun 1993,1619.71
HUN,Tahun 1994,1542.347
HUN,Tahun 1995,1633.419
HUN,Tahun 1996,1446.379
HUN,Tahun 1997,1331.805
HUN,Tahun 1998,1233.878
HUN,Tahun 1999,1217.23
HUN,Tahun 2000,1134.155
HUN,Tahun 2001,1063.27
HUN,Tahun 2002,1048.295
HUN,Tahun 2003,1113.199
HUN,Tahun 2004,1057.244
HUN,Tahun 2005,930.61
HUN,Tahun 2006,884.561
HUN,Tahun 2007,837.297
HUN,Tahun 2008,809.877
HUN,Tahun 2009,789.715
HUN,Tahun 2010,732.808
HUN,Tahun 2011,657.93
HUN,Tahun 2012,647.946
HUN,Tahun 2013,598.027
HUN,Tahun 2014,583.051
HUN,Tahun 2015,600.024
ISL,Tahun 1971,0
ISL,Tahun 1972,0
ISL,Tahun 1973,0
ISL,Tahun 1974,0
ISL,Tahun 1975,0
ISL,Tahun 1976,0
ISL,Tahun 1977,0
ISL,Tahun 1978,0
ISL,Tahun 1979,0
ISL,Tahun 1980,0
ISL,Tahun 1981,0
ISL,Tahun 1982,0
ISL,Tahun 1983,0
ISL,Tahun 1984,0
ISL,Tahun 1985,0
ISL,Tahun 1986,0
ISL,Tahun 1987,0
ISL,Tahun 1988,0
ISL,Tahun 1989,0
ISL,Tahun 1990,0
ISL,Tahun 1991,0
ISL,Tahun 1992,0
ISL,Tahun 1993,0
ISL,Tahun 1994,0
ISL,Tahun 1995,0
ISL,Tahun 1996,0
ISL,Tahun 1997,0
ISL,Tahun 1998,0
ISL,Tahun 1999,0
ISL,Tahun 2000,0
ISL,Tahun 2001,0
ISL,Tahun 2002,0
ISL,Tahun 2003,0
ISL,Tahun 2004,0
ISL,Tahun 2005,0
ISL,Tahun 2006,0
ISL,Tahun 2007,0
ISL,Tahun 2008,0
ISL,Tahun 2009,0
ISL,Tahun 2010,0
ISL,Tahun 2011,0
ISL,Tahun 2012,0
ISL,Tahun 2013,0
ISL,Tahun 2014,0
ISL,Tahun 2015,0
IRL,Tahun 1971,0
IRL,Tahun 1972,0
IRL,Tahun 1973,0
IRL,Tahun 1974,0
IRL,Tahun 1975,0
IRL,Tahun 1976,0
IRL,Tahun 1977,0
IRL,Tahun 1978,0
IRL,Tahun 1979,0
IRL,Tahun 1980,0
IRL,Tahun 1981,0
IRL,Tahun 1982,0
IRL,Tahun 1983,0
IRL,Tahun 1984,0
IRL,Tahun 1985,0
IRL,Tahun 1986,0
IRL,Tahun 1987,0
IRL,Tahun 1988,0
IRL,Tahun 1989,0
IRL,Tahun 1990,0
IRL,Tahun 1991,0
IRL,Tahun 1992,0
IRL,Tahun 1993,0
IRL,Tahun 1994,0
IRL,Tahun 1995,0
IRL,Tahun 1996,0
IRL,Tahun 1997,0
IRL,Tahun 1998,0
IRL,Tahun 1999,0
IRL,Tahun 2000,0
IRL,Tahun 2001,0
IRL,Tahun 2002,0
IRL,Tahun 2003,0
IRL,Tahun 2004,0
IRL,Tahun 2005,0
IRL,Tahun 2006,0
IRL,Tahun 2007,0
IRL,Tahun 2008,0
IRL,Tahun 2009,0
IRL,Tahun 2010,0
IRL,Tahun 2011,0
IRL,Tahun 2012,0
IRL,Tahun 2013,0
IRL,Tahun 2014,0
IRL,Tahun 2015,0
ITA,Tahun 1971,1254.013
ITA,Tahun 1972,1094.411
ITA,Tahun 1973,995.61
ITA,Tahun 1974,1024.11
ITA,Tahun 1975,1017.46
ITA,Tahun 1976,1046.911
ITA,Tahun 1977,1028.86
ITA,Tahun 1978,1350.914
ITA,Tahun 1979,1555.166
ITA,Tahun 1980,1710.017
ITA,Tahun 1981,1364.214
ITA,Tahun 1982,1640.666
ITA,Tahun 1983,2097.621
ITA,Tahun 1984,2128.021
ITA,Tahun 1985,2234.422
ITA,Tahun 1986,2402.574
ITA,Tahun 1987,3712.637
ITA,Tahun 1988,4570.496
ITA,Tahun 1989,4349.144
ITA,Tahun 1990,4408.994
ITA,Tahun 1991,4091.691
ITA,Tahun 1992,4254.237
ITA,Tahun 1993,4388.161
ITA,Tahun 1994,4632.265
ITA,Tahun 1995,5207.005
ITA,Tahun 1996,5428.962
ITA,Tahun 1997,5924.868
ITA,Tahun 1998,5598.93
ITA,Tahun 1999,4997.045
ITA,Tahun 2000,4554.13
ITA,Tahun 2001,4065.223
ITA,Tahun 2002,5536.058
ITA,Tahun 2003,5571.064
ITA,Tahun 2004,5446.04
ITA,Tahun 2005,6109.832
ITA,Tahun 2006,5767.898
ITA,Tahun 2007,5858.88
ITA,Tahun 2008,5219.003
